	ChEBI	MolecularFormula	MolecularWeight	XLogP	ExactMass	MonoisotopicMass	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	IsotopeAtomCount	AtomStereoCount	DefinedAtomStereoCount	UndefinedAtomStereoCount	BondStereoCount	RoleType	RoleName
0	19032	C2H4BrCl	143.41	1.6	141.91849	141.91849	0.0	10.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	biological role	mutagen
1	21182	C23H30Cl5N3O	541.8		541.080201	539.083151	37.4	494.0	0.0	3.0	4.0	11.0	32.0	0.0	1.0	0.0	1.0	0.0	biological role	intercalator
2	21183	C21H27Cl4N3O	479.3		479.087873	477.090823	37.4	442.0	0.0	3.0	4.0	9.0	29.0	0.0	0.0	0.0	0.0	0.0	biological role	intercalator
3	28925	C5H11Cl2N	156.05	0.9	155.0268547	155.0268547	3.2	43.0	0.0	0.0	1.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	biological role	alkylating agent
4	40910	N3-	42.021	1.5	42.009222013	42.009222013	3.0	15.0	-1.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	biological role	mitochondrial respiratory-chain inhibitor
5	23872	C12H25O4S-	265.39	4.7	265.14735545	265.14735545	74.8	230.0	-1.0	0.0	4.0	11.0	17.0	0.0	0.0	0.0	0.0	0.0	biological role	xenobiotic
6	27563	As	74.92159		74.921595	74.921595	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	micronutrient
7	27560	B	10.81		11.0093052	11.0093052	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	micronutrient
8	27007	Sn	118.71		119.902203	119.902203	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	micronutrient
9	28073	Cr	51.996		51.940505	51.940505	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	micronutrient
10	27638	Co	58.93319		58.933194	58.933194	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	micronutrient
11	28685	Mo	95.95		97.905404	97.905404	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	micronutrient
12	27998	W	183.84		183.950933	183.950933	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	micronutrient
13	27698	V	50.9415		50.943958	50.943958	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	micronutrient
14	27363	Zn	65.4		63.929142	63.929142	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	micronutrient
15	24061	FH	20.0064	0.6	20.006228194	20.006228194	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	micronutrient
16	28741	FNa	41.9881724		41.98817244	41.98817244	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	biological role	mutagen
17	27568	Se	78.97		79.91652	79.91652	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	micronutrient
18	24640														0.0			0.0	biological role	xenobiotic
19	22634	C4H6As2O4	267.93		267.8698	267.8698	74.6	147.0	0.0	2.0	4.0	4.0	10.0	0.0	0.0	0.0	0.0	0.0	biological role	xenobiotic
20	32918	C12H10O2	186.21	2.7	186.068079557	186.068079557	37.3	212.0	0.0	1.0	2.0	2.0	14.0	0.0	0.0	0.0	0.0	0.0	biological role	synthetic auxin
21	28775	C28H34O15	610.6	-1.1	610.18977037	610.18977037	234.0	940.0	0.0	8.0	15.0	7.0	43.0	0.0	11.0	11.0	0.0	0.0	biological role	mutagen
22	22899	C17H14O7	330.29	1.7	330.07395278	330.07395278	99.1	662.0	0.0	1.0	7.0	3.0	24.0	0.0	1.0	0.0	1.0	0.0	biological role	antimicrobial agent
23	20140	C10H9N	143.18	2.5	143.073499291	143.073499291	12.9	133.0	0.0	0.0	1.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	biological role	xenobiotic
24	17590	C8H18	114.23	3.9	114.140850574	114.140850574	0.0	25.0	0.0	0.0	0.0	5.0	8.0	0.0	0.0	0.0	0.0	0.0	biological role	xenobiotic
25	25187	C10H20O	156.26	3.0	156.151415257	156.151415257	20.2	120.0	0.0	1.0	1.0	1.0	11.0	0.0	3.0	0.0	3.0	0.0	biological role	volatile oil component
26	28937	C15H20O4	264.32	1.6	264.13615911	264.13615911	74.6	494.0	0.0	2.0	4.0	3.0	19.0	0.0	1.0	1.0	0.0	2.0	biological role	plant hormone
27	17660	C10H13N5	203.24	2.1	203.11709544	203.11709544	66.5	236.0	0.0	2.0	4.0	3.0	15.0	0.0	0.0	0.0	0.0	0.0	biological role	cytokinin
28	27666	C62H86N12O16	1255.4	3.8	1254.6284747	1254.6284747	356.0	3030.0	0.0	5.0	18.0	8.0	90.0	0.0	10.0	10.0	0.0	0.0	biological role	mutagen
29	28890	C11H22NO7PS	343.34	-0.3	343.08546021	343.08546021	134.0	387.0	0.0	5.0	8.0	11.0	21.0	0.0	2.0	2.0	0.0	0.0	biological role	coenzyme
30	16848	C29H36N5O18P	773.6	-5.1	773.17929631	773.17929631	365.0	1720.0	0.0	11.0	19.0	20.0	53.0	0.0	6.0	6.0	0.0	0.0	biological role	coenzyme
31	26831	C2H6N4O4S	182.16	-2.5	182.01097586	182.01097586	153.0	240.0	0.0	4.0	4.0	2.0	11.0	0.0	0.0	0.0	0.0	0.0	biological role	EC 2.2.1.6 (acetolactate synthase) inhibitor
32	18446	C12H20O3	212.28	1.9	212.1412445	212.1412445	57.5	235.0	0.0	2.0	3.0	5.0	15.0	0.0	3.0	3.0	0.0	1.0	biological role	jasmonates
33	17073	C22H27N7O	405.5	3.1	405.22770851	405.22770851	131.0	598.0	0.0	4.0	4.0	7.0	30.0	0.0	1.0	1.0	0.0	0.0	biological role	luciferin
34	17165	C11H8N2O3S2	280.3	2.2	279.99763447	279.99763447	136.0	391.0	0.0	2.0	7.0	2.0	18.0	0.0	1.0	1.0	0.0	0.0	biological role	luciferin
35	16531	C26H21N3O2	407.5	5.9	407.16337692	407.16337692	70.6	555.0	0.0	2.0	4.0	5.0	31.0	0.0	0.0	0.0	0.0	0.0	biological role	luciferin
36	17675	C26H21N3O9S2	583.6	4.3	583.0719216	583.0719216	194.0	1030.0	0.0	3.0	11.0	9.0	40.0	0.0	0.0	0.0	0.0	0.0	biological role	luciferin
37	28954	C21H20NO4+	350.4	1.5	350.13923312	350.13923312	49.2	964.0	1.0	1.0	4.0	3.0	26.0	0.0	0.0	0.0	0.0	0.0	biological role	mutagen
38	24911	C10H16O	152.23	2.1	152.12011513	152.12011513	20.2	191.0	0.0	1.0	1.0	1.0	11.0	0.0	2.0	0.0	2.0	0.0	biological role	volatile oil component
39	27607	C10H14O	150.22	3.3	150.104465066	150.104465066	20.2	120.0	0.0	1.0	1.0	1.0	11.0	0.0	0.0	0.0	0.0	0.0	biological role	volatile oil component
40	35299	C22H14	278.3	6.5	278.109550447	278.109550447	0.0	361.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	biological role	mutagen
41	19024	C10H9NO4S	239.25	0.9	239.02522894	239.02522894	109.0	350.0	0.0	3.0	5.0	1.0	16.0	0.0	0.0	0.0	0.0	0.0	biological role	mutagen
42	20787	C20H15Br	335.2	6.0	334.03571	334.03571	0.0	365.0	0.0	0.0	0.0	1.0	21.0	0.0	0.0	0.0	0.0	0.0	biological role	mutagen
43	30969	C2H5N	43.07	-0.4	43.042199164	43.042199164	21.9	10.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	biological role	alkylating agent
44	21759	C2H5N5O3	147.09	0.1	147.03923904	147.03923904	114.0	161.0	0.0	2.0	5.0	2.0	10.0	0.0	0.0	0.0	0.0	0.0	biological role	alkylating agent
45	23704	C4H6O2	86.09	-0.5	86.03677943	86.03677943	25.1	61.0	0.0	0.0	2.0	1.0	6.0	0.0	2.0	0.0	2.0	0.0	biological role	mutagen
46	23705	C8H14O2	142.2	1.0	142.099379685	142.099379685	25.1	99.0	0.0	0.0	2.0	5.0	10.0	0.0	2.0	0.0	2.0	0.0	biological role	mutagen
47	25234	C5H12N2O2	132.16	0.5	132.08987763	132.08987763	41.9	87.0	0.0	0.0	4.0	3.0	9.0	0.0	1.0	0.0	1.0	0.0	biological role	mutagen
48	51015	C36H56O12	680.8	1.0	680.37717722	680.37717722	170.0	1240.0	0.0	4.0	12.0	14.0	48.0	0.0	13.0	13.0	0.0	1.0	biological role	toxin
49	17696	C3H3N3O3	129.07	-1.2	129.01744097	129.01744097	87.3	136.0	0.0	3.0	3.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	biological role	xenobiotic
50	16697	C9H10O	134.17	1.5	134.073164938	134.073164938	20.2	122.0	0.0	1.0	1.0	0.0	10.0	0.0	1.0	0.0	1.0	0.0	biological role	xenobiotic
51	5659	C31H64	436.8	16.4	436.500802041	436.500802041	0.0	254.0	0.0	0.0	0.0	28.0	31.0	0.0	0.0	0.0	0.0	0.0	biological role	antitubercular agent
52	27594	CH4	16.043	0.6	16.0313001276	16.0313001276	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	macronutrient
53	49637	H2	2.016	0.0	2.0156500638	2.0156500638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	biological role	macronutrient
54	25805	H2O	18.015	-0.5	18.010564683	18.010564683	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	macronutrient
55	28659	H3P	33.998	-0.1	33.997237093	33.997237093	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	macronutrient
56	26833	H2S	34.08	0.5	33.98772124	33.98772124	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	macronutrient
57	22984	Ca	40.08		39.9625908	39.9625908	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	macronutrient
58	25107	Mg	24.305		23.9850417	23.9850417	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	macronutrient
59	23116	ClH	36.46	0.8	35.9766777	35.9766777	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	micronutrient
60	22927	BrH	80.91	1.0	79.92616	79.92616	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	biological role	micronutrient
61	6504	CLi2O3	73.9		74.01675073	74.01675073	63.2	18.0	0.0	0.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	application	antimanic drug
62	4846	C52H97NO18S	1056.4		1055.64263642	1055.64263642	272.0	1550.0	0.0	5.0	19.0	22.0	72.0	0.0	18.0	18.0	0.0	0.0	biological role	enzyme inhibitor
63	31599	C16H14O3	254.28	3.2	254.094294304	254.094294304	54.4	310.0	0.0	1.0	3.0	5.0	19.0	0.0	0.0	0.0	0.0	0.0	application	non-steroidal anti-inflammatory drug
64	28786	C12H14Cl2N2	257.16		256.0534038	256.0534038	7.8	145.0	0.0	0.0	2.0	1.0	16.0	0.0	0.0	0.0	0.0	0.0	application	herbicide
65	35553	C19H35N	277.5	6.8	277.276950121	277.276950121	12.0	245.0	0.0	1.0	1.0	4.0	20.0	0.0	1.0	0.0	1.0	0.0	application	cardiovascular drug
66	35616	C10H12O	148.2	3.3	148.088815002	148.088815002	9.2	121.0	0.0	0.0	1.0	2.0	11.0	0.0	0.0	0.0	0.0	1.0	application	flavouring agent
67	35455	C11H7NS	185.25	4.3	185.0299204	185.0299204	44.4	220.0	0.0	0.0	2.0	1.0	13.0	0.0	0.0	0.0	0.0	0.0	application	insecticide
68	27961	C10H18O	154.25	2.5	154.135765193	154.135765193	9.2	164.0	0.0	0.0	1.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	application	flavouring agent
69	5296	C15H22O3	250.33	3.8	250.15689456	250.15689456	46.5	273.0	0.0	1.0	3.0	6.0	18.0	0.0	0.0	0.0	0.0	0.0	application	antilipemic drug
70	44032	C36H47N5O4	613.8	2.8	613.362805	613.362805	118.0	952.0	0.0	4.0	7.0	12.0	45.0	0.0	5.0	5.0	0.0	0.0	biological role	HIV protease inhibitor
71	35812	C15H13N3O3S	315.3	2.3	315.06776246	315.06776246	103.0	428.0	0.0	2.0	5.0	4.0	22.0	0.0	1.0	0.0	1.0	0.0	application	antinematodal drug
