	ChEBI	MolecularFormula	MolecularWeight	XLogP	ExactMass	MonoisotopicMass	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	IsotopeAtomCount	AtomStereoCount	DefinedAtomStereoCount	UndefinedAtomStereoCount	BondStereoCount	RoleType	RoleName
0	19032	C2H4BrCl	143.41	1.6			0.0	10.0		0.0	0.0	1.0	4.0						biological role	mutagen
1	21182	C23H30Cl5N3O	541.8				37.4	494.0		3.0	4.0	11.0	32.0						biological role	intercalator
2	21183	C21H27Cl4N3O	479.3				37.4	442.0		3.0	4.0	9.0	29.0						biological role	intercalator
3	28925	C5H11Cl2N	156.05	0.9			3.2	43.0		0.0	1.0	4.0	8.0						biological role	alkylating agent
4	40910	N3-	42.021	1.5			3.0	15.0		0.0	2.0	0.0	3.0						biological role	mitochondrial respiratory-chain inhibitor
5	23872	C12H25O4S-	265.39	4.7			74.8	230.0		0.0	4.0	11.0	17.0						biological role	xenobiotic
6	27563	As	74.92159000000001				0.0	0.0		0.0	0.0	0.0	1.0						biological role	micronutrient
7	27560	B	10.81				0.0	0.0		0.0	0.0	0.0	1.0						biological role	micronutrient
8	27007	Sn	118.71				0.0	0.0		0.0	0.0	0.0	1.0						biological role	micronutrient
9	28073	Cr	51.996				0.0	0.0		0.0	0.0	0.0	1.0						biological role	micronutrient
10	27638	Co	58.93319				0.0	0.0		0.0	0.0	0.0	1.0						biological role	micronutrient
11	28685	Mo	95.95				0.0	0.0		0.0	0.0	0.0	1.0						biological role	micronutrient
12	27998	W	183.84				0.0	0.0		0.0	0.0	0.0	1.0						biological role	micronutrient
13	27698	V	50.9415				0.0	0.0		0.0	0.0	0.0	1.0						biological role	micronutrient
14	27363	Zn	65.4				0.0	0.0		0.0	0.0	0.0	1.0						biological role	micronutrient
15	24061	FH	20.0064	0.6			0.0	0.0		1.0	1.0	0.0	1.0						biological role	micronutrient
16	28741	FNa	41.988172399999996				0.0	2.0		0.0	1.0	0.0	2.0						biological role	mutagen
17	27568	Se	78.97				0.0	0.0		0.0	0.0	0.0	1.0						biological role	micronutrient
18	24640																		biological role	xenobiotic
19	22634	C4H6As2O4	267.93				74.6	147.0		2.0	4.0	4.0	10.0						biological role	xenobiotic
20	32918	C12H10O2	186.21	2.7			37.3	212.0		1.0	2.0	2.0	14.0						biological role	synthetic auxin
21	28775	C28H34O15	610.6	-1.1			234.0	940.0		8.0	15.0	7.0	43.0						biological role	mutagen
22	22899	C17H14O7	330.29	1.7			99.1	662.0		1.0	7.0	3.0	24.0						biological role	antimicrobial agent
23	20140	C10H9N	143.18	2.5			12.9	133.0		0.0	1.0	0.0	11.0						biological role	xenobiotic
24	17590	C8H18	114.23	3.9			0.0	25.0		0.0	0.0	5.0	8.0						biological role	xenobiotic
25	25187	C10H20O	156.26	3.0			20.2	120.0		1.0	1.0	1.0	11.0						biological role	volatile oil component
26	28937	C15H20O4	264.32	1.6			74.6	494.0		2.0	4.0	3.0	19.0						biological role	plant hormone
27	17660	C10H13N5	203.24	2.1			66.5	236.0		2.0	4.0	3.0	15.0						biological role	cytokinin
28	27666	C62H86N12O16	1255.4	3.8			356.0	3030.0		5.0	18.0	8.0	90.0						biological role	mutagen
29	28890	C11H22NO7PS	343.34	-0.3			134.0	387.0		5.0	8.0	11.0	21.0						biological role	coenzyme
30	16848	C29H36N5O18P	773.6	-5.1			365.0	1720.0		11.0	19.0	20.0	53.0						biological role	coenzyme
31	26831	C2H6N4O4S	182.16	-2.5			153.0	240.0		4.0	4.0	2.0	11.0						biological role	EC 2.2.1.6 (acetolactate synthase) inhibitor
32	28954																		biological role	mutagen
33	35299																		biological role	mutagen
34	19024																		biological role	mutagen
35	20787																		biological role	mutagen
36	23704																		biological role	mutagen
37	23705																		biological role	mutagen
38	25234																		biological role	mutagen
39	34565																		biological role	mutagen
40	35860																		biological role	mutagen
41	29146																		biological role	mutagen
42	29147																		biological role	mutagen
43	20552																		biological role	mutagen
44	20553																		biological role	mutagen
45	40154																		biological role	mutagen
46	377106																		biological role	mutagen
47	63220																		biological role	mutagen
48	75335																		biological role	mutagen
49	76288																		biological role	mutagen
50	48983																		biological role	mutagen
51	18718																		biological role	mutagen
52	66931																		biological role	mutagen
53	87406																		biological role	mutagen
54	20689																		biological role	mutagen
55	132980																		biological role	mutagen
56	132982																		biological role	mutagen
57	142240																		biological role	mutagen
58	142244																		biological role	mutagen
59	142414																		biological role	mutagen
60	142623																		biological role	mutagen
61	30614																		biological role	intercalator
62	30969																		biological role	alkylating agent
63	21759																		biological role	alkylating agent
64	74571																		biological role	alkylating agent
65	183313																		biological role	alkylating agent
66	17696																		biological role	xenobiotic
67	16697																		biological role	xenobiotic
68	28145																		biological role	xenobiotic
69	27924																		biological role	xenobiotic
70	68505																		biological role	xenobiotic
71	79937																		biological role	xenobiotic
72	38028																		biological role	xenobiotic
73	132611																		biological role	xenobiotic
74	133072																		biological role	xenobiotic
75	62080																		biological role	xenobiotic
76	23116																		biological role	micronutrient
77	22927																		biological role	micronutrient
78	81810																		biological role	synthetic auxin
79	51805																		biological role	antimicrobial agent
80	52511																		biological role	antimicrobial agent
81	28908																		biological role	antimicrobial agent
82	3490																		biological role	antimicrobial agent
83	34613																		biological role	antimicrobial agent
84	324935																		biological role	antimicrobial agent
85	60821																		biological role	antimicrobial agent
86	60822																		biological role	antimicrobial agent
87	60828																		biological role	antimicrobial agent
88	62247																		biological role	antimicrobial agent
89	64228																		biological role	antimicrobial agent
90	64245																		biological role	antimicrobial agent
91	64246																		biological role	antimicrobial agent
92	64248																		biological role	antimicrobial agent
93	64250																		biological role	antimicrobial agent
94	64255																		biological role	antimicrobial agent
95	64256																		biological role	antimicrobial agent
96	64257																		biological role	antimicrobial agent
97	64271																		biological role	antimicrobial agent
98	64272																		biological role	antimicrobial agent
99	64649																		biological role	antimicrobial agent
100	64651																		biological role	antimicrobial agent
101	65108																		biological role	antimicrobial agent
102	65110																		biological role	antimicrobial agent
103	65112																		biological role	antimicrobial agent
104	67223																		biological role	antimicrobial agent
105	45395																		biological role	antimicrobial agent
106	75258																		biological role	antimicrobial agent
107	75262																		biological role	antimicrobial agent
108	78496																		biological role	antimicrobial agent
109	77885																		biological role	antimicrobial agent
110	77985																		biological role	antimicrobial agent
111	87185																		biological role	antimicrobial agent
112	3488																		biological role	antimicrobial agent
113	140407																		biological role	antimicrobial agent
114	143246																		biological role	antimicrobial agent
115	143285																		biological role	antimicrobial agent
116	24911																		biological role	volatile oil component
117	27607																		biological role	volatile oil component
118	10278																		biological role	volatile oil component
119	10417																		biological role	volatile oil component
120	62513																		biological role	volatile oil component
121	62514																		biological role	volatile oil component
122	89729																		biological role	volatile oil component
123	172925																		biological role	volatile oil component
124	172926																		biological role	volatile oil component
125	176332																		biological role	volatile oil component
126	172935																		biological role	volatile oil component
127	172933																		biological role	volatile oil component
128	180937																		biological role	volatile oil component
129	80749																		biological role	volatile oil component
130	68667																		biological role	volatile oil component
131	19144																		biological role	plant hormone
132	545687																		biological role	plant hormone
133	67190																		biological role	plant hormone
134	15333																		biological role	cytokinin
135	72604																		biological role	cytokinin
136	72612																		biological role	cytokinin
137	72620																		biological role	cytokinin
138	20838																		biological role	cytokinin
139	20833																		biological role	cytokinin
140	60283																		biological role	cytokinin
141	17905																		biological role	coenzyme
142	59537																		biological role	coenzyme
143	59539																		biological role	coenzyme
144	59536																		biological role	coenzyme
145	59543																		biological role	coenzyme
146	59541																		biological role	coenzyme
147	62786																		biological role	coenzyme
148	62784																		biological role	coenzyme
149	63314																		biological role	coenzyme
150	18446																		biological role	jasmonates
151	136184																		biological role	jasmonates
152	139300																		biological role	jasmonates
153	17073																		biological role	luciferin
154	17165																		biological role	luciferin
155	16531																		biological role	luciferin
156	17675																		biological role	luciferin
157	2311																		biological role	luciferin
158	61702																		biological role	luciferin
159	51015																		biological role	toxin
160	60312																		biological role	toxin
161	142397																		biological role	toxin
162	146207																		biological role	toxin
163	5659																		biological role	antitubercular agent
164	45367																		biological role	antitubercular agent
165	27565																		biological role	antitubercular agent
166	15782																		biological role	antitubercular agent
167	4878																		biological role	antitubercular agent
168	60081																		biological role	antitubercular agent
169	67135																		biological role	antitubercular agent
170	156209																		biological role	antitubercular agent
171	27594																		biological role	macronutrient
172	49637																		biological role	macronutrient
173	25805																		biological role	macronutrient
174	28659																		biological role	macronutrient
175	26833																		biological role	macronutrient
176	22984																		biological role	macronutrient
177	25107																		biological role	macronutrient
178	6504																		application	antimanic drug
179	60654																		application	antimanic drug
180	4846																		biological role	enzyme inhibitor
181	31599																		application	non-steroidal anti-inflammatory drug
182	37999																		application	non-steroidal anti-inflammatory drug
183	48521																		application	non-steroidal anti-inflammatory drug
184	6775																		application	non-steroidal anti-inflammatory drug
185	59660																		application	non-steroidal anti-inflammatory drug
186	31597																		application	non-steroidal anti-inflammatory drug
187	28786																		application	herbicide
188	38904																		application	herbicide
189	50098																		application	herbicide
190	33421																		application	herbicide
191	34590																		application	herbicide
192	60833																		application	herbicide
193	62961																		application	herbicide
194	62962																		application	herbicide
195	62953																		application	herbicide
196	63927																		application	herbicide
197	9678																		application	herbicide
198	65242																		application	herbicide
199	38072																		application	herbicide
200	34976																		application	herbicide
201	83571																		application	herbicide
202	131998																		application	herbicide
203	132840																		application	herbicide
204	34936																		application	herbicide
205	145402																		application	herbicide
206	145551																		application	herbicide
207	145557																		application	herbicide
208	147359																		application	herbicide
209	82200																		application	herbicide
210	3129																		application	herbicide
211	82038																		application	herbicide
212	35553																		application	cardiovascular drug
213	2663																		application	cardiovascular drug
214	35616																		application	flavouring agent
215	27961																		application	flavouring agent
216	64243																		application	flavouring agent
217	76046																		application	flavouring agent
218	52774																		application	flavouring agent
219	88153																		application	flavouring agent
220	131456																		application	flavouring agent
221	132932																		application	flavouring agent
222	132845																		application	flavouring agent
223	132837																		application	flavouring agent
224	141701																		application	flavouring agent
225	142274																		application	flavouring agent
226	143870																		application	flavouring agent
227	145236																		application	flavouring agent
228	145716																		application	flavouring agent
229	167172																		application	flavouring agent
230	167501																		application	flavouring agent
231	177880																		application	flavouring agent
232	173636																		application	flavouring agent
233	180466																		application	flavouring agent
234	177980																		application	flavouring agent
235	168238																		application	flavouring agent
236	180294																		application	flavouring agent
237	189588																		application	flavouring agent
238	173589																		application	flavouring agent
239	35455																		application	insecticide
240	37647																		application	insecticide
241	38640																		application	insecticide
242	9947																		application	insecticide
243	35652																		application	insecticide
244	64384																		application	insecticide
245	64386																		application	insecticide
246	28618																		application	insecticide
247	39381																		application	insecticide
248	143525																		application	insecticide
249	5296																		application	antilipemic drug
250	50848																		application	antilipemic drug
251	50867																		application	antilipemic drug
252	44032																		biological role	HIV protease inhibitor
253	46414																		biological role	HIV protease inhibitor
254	46238																		biological role	HIV protease inhibitor
255	10050																		biological role	HIV protease inhibitor
256	35812																		application	antinematodal drug
257	38946																		application	antinematodal drug
258	77092																		application	antinematodal drug
259	8654																		application	antinematodal drug
260	78739																		application	antinematodal drug
261	9342																		application	uricosuric drug
262	8426																		application	uricosuric drug
263	90929																		application	uricosuric drug
264	3023																		application	uricosuric drug
265	35854																		biological role	antiviral drug
266	141644																		biological role	antiviral drug
267	60269																		biological role	antiviral drug
268	7956																		biological role	antiviral drug
269	36049																		biological role	antisyphilitic drug
270	9016																		biological role	antisyphilitic drug
271	34643																		application	antineoplastic agent
272	36143																		application	antineoplastic agent
273	47																		application	antineoplastic agent
274	32295																		application	antineoplastic agent
275	42452																		application	antineoplastic agent
276	41576																		application	antineoplastic agent
277	31181																		application	antineoplastic agent
278	32279																		application	antineoplastic agent
279	50727																		application	antineoplastic agent
280	31523																		application	antineoplastic agent
281	50859																		application	antineoplastic agent
282	27812																		application	antineoplastic agent
283	32296																		application	antineoplastic agent
284	53750																		application	antineoplastic agent
285	55368																		application	antineoplastic agent
286	59809																		application	antineoplastic agent
287	525464																		application	antineoplastic agent
288	520527																		application	antineoplastic agent
289	61089																		application	antineoplastic agent
290	61682																		application	antineoplastic agent
291	62855																		application	antineoplastic agent
292	63859																		application	antineoplastic agent
293	29655																		application	antineoplastic agent
294	64534																		application	antineoplastic agent
295	36373																		application	antineoplastic agent
296	66913																		application	antineoplastic agent
297	67106																		application	antineoplastic agent
298	66403																		application	antineoplastic agent
299	71417																		application	antineoplastic agent
300	71428																		application	antineoplastic agent
301	65639																		application	antineoplastic agent
